,company_index,name,category_list,funding_total_usd,status,region,funding_rounds,founded_at
49965,29461,Scout.com,Games|Recruiting|Sports,5000000,1,North America,1,2001-01-01
49966,29462,Scout,Advertising|Content|Media|Publishing,45000,1,North America,1,2001-04-01
49967,29463,Scout RFP,Enterprises|Procurement|SaaS|Software,2750000,1,North America,1,2013-01-01
49971,29464,Scoutmob,Coupons|E-Commerce|Local Coupons,7755000,1,North America,4,2010-01-13
49973,29465,Scoville,Curated Web|Ediscovery|Location Based Services|Mobile|Reviews and Recommendations,400000,1,Europe,1,2010-01-01
49976,29466,scPharmaceuticals,Health and Wellness,16000000,1,North America,1,2007-01-01
49979,29467,Scranton Gillette Communications,Biotechnology,1550000,1,North America,1,1960-01-01
49980,29468,Scrap Connection,Trading,218423,1,Europe,2,2012-01-01
49981,29469,Scrapblog,Curated Web,11500000,1,North America,5,2006-01-01
49982,29470,ScraperWiki,Analytics|Cloud Computing|Databases|Information Technology,1198810,1,Europe,2,2010-01-01
49984,29471,Scratch,Customer Service|Internet|Shopping,3600000,1,North America,1,2014-08-01
49985,29472,Scratch Hard,Coupons|Discounts|Fashion|Finance|Mobile|Retail|Sales and Marketing|Shopping,1400000,1,North America,1,2012-03-01
49987,29473,Scratch Music Group,Music,3300000,1,North America,3,2002-01-01
49988,29474,Scratch Wireless,Mobile,5900000,1,North America,2,2011-01-01
49990,29475,ScreachTV,Games,2500000,1,Europe,1,2010-01-01
49992,29476,Screamin Daily Deals,Curated Web,450000,1,North America,1,2010-02-01
49995,29477,Screen,Biotechnology,29000,1,North America,1,1999-01-01
49999,29478,Screenburn,Curated Web|Facebook Applications|Film|Social Television|Video on Demand,500000,1,Europe,1,2012-05-04
50000,29479,ScreenDy,Apps|Development Platforms|Mobile|Software,300000,1,North America,1,2012-06-05
50002,29480,Screenhero,Collaboration|Enterprise Software|Productivity Software,1800000,1,North America,1,2013-01-01
50003,29481,ScreenHits,Entrepreneur|Internet|Media|News|Online Shopping|Startups|Video on Demand|Video Streaming,1200000,1,Europe,1,2012-02-14
50004,29482,Screenie,Human Resources|Recruiting|SaaS|Social Recruiting,700000,1,North America,2,2013-01-01
50007,29483,ScreenMedix,Curated Web,500000,1,North America,1,2013-10-01
50009,29484,ScreenScape Networks,Advertising,4000000,0,North America,2,2007-09-28
50010,29485,ScreenTag,Mobile,30965,1,Europe,1,2012-01-01
50011,29486,Screenz,Entertainment,5000000,1,Asia,1,2011-01-01
50012,29487,Screwpulp,Public Relations|Publishing|Writers,345000,1,North America,3,2013-02-08
50013,29488,Scribble Press,Art|Curated Web|Local Businesses,1150000,1,North America,1,2006-01-01
50014,29489,ScribbleLive,Big Data Analytics|Blogging Platforms|Content|Content Discovery|Content Syndication|Enterprise Software|SaaS|Social Media Marketing,58920529,1,North America,5,2008-01-01
50016,29490,Scribd,E-Books|File Sharing|News|Publishing|Social Media,47762000,1,North America,6,2007-01-01
50018,29491,ScribeStorm,Media|Music|Online Shopping|Social Network Media|Video,225000,0,North America,1,2007-01-08
50019,29492,scrible,Enterprise Software,500000,1,North America,1,2010-01-01
50020,29493,Scribz,Comics|Photography|Photo Sharing,40000,1,South America,1,2012-09-01
50022,29494,Scripbox,Investment Management,2500000,1,Asia,1,2012-01-01
50023,29495,Scripped,Entertainment|Film|Software|Video Streaming,791274,1,North America,3,2007-07-07
50024,29496,Scripps Networks Interactive,Curated Web,10000000,2,North America,1,1994-01-01
50025,29497,ScripsAmerica,Biotechnology,4200537,1,North America,2,2008-01-01
50027,29498,Scrip-t,Enterprise Software,162364,1,Asia,1,2007-06-01
50030,29499,Scripted.com,Crowdsourcing|E-Commerce|Freelancers|Marketplaces,14500000,1,North America,4,2011-05-01
50031,29500,Scriptick,Social Media|Social Network Media,538000,1,North America,1,2013-05-08
50032,29501,ScriptPad,Doctors|Finance|Medical|Mobile,432000,1,North America,2,2010-06-08
50034,29502,ScriptRock,Enterprises|Enterprise Software|Intelligent Systems|Networking|Software|Testing,9952199,1,North America,4,2012-01-21
50040,29503,ScrollMotion,Apps|Enterprises|iPad|iPhone|Mobile|Software,49647751,1,North America,7,2008-01-01
50041,29504,Scrooge,Mobile Payments|Peer-to-Peer,233960,1,Europe,5,2011-06-21
50044,29505,Scryer,Software,16700000,1,North America,2,2013-01-01
50045,29506,SCS Group,Manufacturing,159444,1,Europe,1,1992-01-01
50046,29507,SCSG EA Acquisition Company,Health and Wellness,32000000,1,North America,2,2007-01-01
50047,29508,ScubaTribe,Adventure Travel|Customer Service|Diving|Online Travel|Reviews and Recommendations|Sales and Marketing|Social Media|Surveys|Travel,61367,1,North America,1,2013-05-01
50049,29509,Sculpteo,Curated Web|Mass Customization,5397761,1,Europe,1,2009-01-01
50051,29510,Scurri,Delivery|E-Commerce|Shipping|Transportation,2500000,1,Europe,2,2010-04-19
50052,29511,Scuter,Electric Vehicles|Mobility|Ride Sharing,110995,0,Europe,1,2015-07-09
50053,29512,Scutify,Financial Services,2500000,1,North America,2,2013-05-01
50054,29513,Scuttledog,Social Media,125000,1,Europe,1,2010-08-20
50055,29514,Scutum,Automotive|Electric Vehicles|Environmental Innovation,2573200,1,Europe,1,2011-01-01
50056,29515,SCVNGR,Games|Mobile,40785000,1,North America,6,2008-01-01
50057,29516,SCYFIX,Hardware + Software,2856847,1,North America,2,2002-01-01
50058,29517,Scylab medic,Health Care,856000,1,Europe,1,2006-01-01
50059,29518,SCYNEXIS,Health Care,11449343,2,North America,1,1999-01-01
50060,29519,Scypho,Consumer Electronics|Home Automation|Smart Building,5600000,1,Europe,3,2010-01-01
50065,29520,SDH Group,Business Services|Product Development Services|Product Search,915000,0,North America,1,2003-01-02
50068,29521,SDL Enterprise Technologies,Software,6000000,0,North America,1,1998-01-01
50071,29522,SE Holdings and Incubations,Software,24000,1,Asia,1,1985-01-01
50072,29523,SEA,Engineering Firms|Investment Management|Services,384500,1,North America,2,1970-01-01
50073,29524,Seabags,Fashion,140000,1,North America,1,1999-01-01
50074,29525,Seaborn Networks,Mobile,18774140,1,North America,2,2011-01-01
50084,29526,Seagate,Databases|Hardware|Hardware + Software|Networking|Storage|Technology,681759114,2,North America,1,1979-01-01
50085,29527,Seahorse,Photography|Photo Sharing|Private Social Networking,450000,1,North America,1,2013-01-01
50086,29528,Seahorse Bioscience,Biotechnology,31746594,1,North America,4,2000-01-01
50088,29529,Seakeeper,Manufacturing,833333,1,North America,1,2002-01-01
50089,29530,"SEAL Innovation, Inc.",Hardware + Software,2000000,1,North America,1,2010-01-01
50090,29531,Seal Software,Software,4000000,1,North America,1,2010-01-01
50091,29532,Sealed,Clean Energy|Clean Technology|Energy Efficiency,535000,1,North America,2,2012-12-01
50092,29533,SealedMedia,Security,25000000,1,Europe,2,1996-01-01
50095,29534,SeamBLiSS,Consumers|Design|E-Commerce|Fashion|Marketplaces|Mass Customization,20000,1,North America,1,2012-07-19
50099,29535,Seamless Medical Systems,Health Care,5500000,1,North America,3,2011-01-01
50100,29536,Seamless Planet,Travel & Tourism|Ventures for Good,543889,1,North America,2,2014-01-01
50102,29537,Seamless Toy Company,Entertainment|Games,3430000,1,North America,2,2012-10-31
50103,29538,SeamlessDocs,Enterprise Software|Government Innovation|Project Management,6450000,1,North America,4,2011-07-15
50104,29539,SeamlessMD,Health Care,1100000,1,North America,1,2012-01-01
50105,29540,Seamless Receipts,Messaging|Retail|Social Media,1750000,1,North America,2,2009-07-01
50106,29541,SeaMobile,Web Hosting,20000000,1,North America,1,2005-01-01
50108,29542,Seamster.io,Information Services|Information Technology|Internet|Software,20000,1,North America,1,2014-01-01
50109,29543,Seanodes,Web Hosting,6500000,1,Europe,1,2002-01-01
50112,29544,Search Initiatives,Search,9430480,1,North America,2,2006-01-01
50117,29545,Searchbox,Data Mining|Enterprise Search|Search|Semantic Search|Software,980392,1,Europe,1,2009-01-01
50118,29546,Searchdaimon,Enterprise Search|Search,769000,1,Europe,2,2005-05-26
50119,29547,Searcheeze,Curated Web|News,305000,0,North America,1,2011-01-01
50120,29548,SearchForce,Advertising|Search|Search Marketing|Semantic Search|Software,4057165,1,North America,2,2004-01-01
50121,29549,IgnitionOne,Advertising|Digital Media|Marketing Automation|Search Marketing,68213212,1,North America,4,2004-01-01
50124,29550,SearchMe,Search|Visual Search,46914300,0,North America,6,2005-07-01
50125,29551,Searchmetrics,Analytics|Content|Internet Marketing|SaaS|Search|Semantic Search|SEO|Social Media Marketing,23885724,1,Europe,5,2007-01-01
50126,29552,Searchperience Inc.,E-Commerce|Enterprises|Search,2250000,1,North America,2,2014-09-01
50129,29553,Searchwords Pty Ltd,Advertising|Local|Search|SEO,6000,1,Oceania,1,2011-04-01
50130,29554,Search'XPR Inc.,Apps|Developer APIs|Reviews and Recommendations|Search|Software,2059769,1,North America,1,2013-02-26
50133,29555,Seascape Health Alliance,Medical,50000,1,North America,1,2014-12-02
50134,29556,Seaside Therapeutics,Biotechnology,30000000,1,North America,1,2005-01-01
50135,29557,Seasonal Kids Sales,Kids|Retail|Shopping,2000,1,North America,1,2014-03-01
50136,29558,seasonax GmbH,Software|Stock Exchanges,615905,1,Europe,3,2014-03-03
50140,29559,SEAT 4a,Aerospace|Mobile|Travel,130931,1,Europe,1,2012-10-19
50141,29560,Seaters,Android|Entertainment Industry|iOS|Mobile|Music|SaaS|Sports,4000000,1,North America,2,2014-01-01
50142,29561,SeatGeek,Concerts|Search|Sports|Ticketing|Vertical Search,102970000,1,North America,9,2009-07-01
50143,29562,SeatID,Social Media|Social Search|Travel,1000000,1,Asia,2,2011-12-01
50144,29563,SeatKarma,Games|Ticketing,30000,1,North America,1,2008-03-01
50146,29564,SeatNinja,Mobile,375000,0,North America,3,2012-01-01
50148,29565,SeatSmart,Events|Internet|Retail|Ticketing,750000,1,North America,1,2014-09-01
50149,29566,SeatSwapr,Transportation|Travel,10000,0,North America,1,2012-04-27
50150,29567,Seattle Biomedical Research Institute,Biotechnology,26000000,1,North America,2,1976-01-01
50152,29568,Seattle Genetics,Biotechnology|Health Care|Therapeutics,164000000,2,North America,2,1998-01-01
50153,29569,Seattle Good Business Network,Non Profit,17000,1,North America,1,2010-01-01
50154,29570,Seatwave,E-Commerce,53000000,1,Europe,4,2006-01-01
50155,29571,Seaweed Bath Co.,Health and Wellness,2144487,1,North America,1,2010-01-01
50156,29572,SeaWell Networks,Software,17412208,1,North America,5,2008-01-01
50157,29573,Seawind,Aerospace|Transportation,500000,1,North America,1,2009-04-01
50159,29574,Sebacia,Curated Web,55593417,1,North America,7,2010-01-01
50162,29575,Secant Therapeutics,Biotechnology,150000,1,North America,1,2010-01-01
50163,29576,Secerno,Databases|Information Technology|Technology,19800000,1,Europe,2,2003-01-01
50164,29577,"SecLingua, Inc.",Cyber Security|Health Care|Information Technology,500000,1,North America,1,2012-09-13
50166,29578,Secondbrain,Content|Search|Social Media|Startups,1500000,0,Europe,1,2007-01-01
50168,29579,BuyHappy,Apps|E-Commerce|Price Comparison|Shopping|Software,900000,1,North America,1,2013-04-01
50170,29580,Second & Fourth,Consulting,50000,1,North America,1,2012-01-01
50171,29581,Second Genome,Biotechnology|Health Diagnostics,18999999,1,North America,3,2009-01-01
50172,29582,Second Half Playbook,Curated Web|Internet,500000,0,North America,1,2010-03-01
50174,29583,Second Light,Elder Care|Health and Wellness|Mobile Health|Personal Health,60000,1,North America,2,2013-02-01
50175,29584,Second Measure,Big Data Analytics|FinTech|Information Technology,120000,1,North America,1,2015-01-01
50176,29585,Second Porch,Real Estate|Vacation Rentals,1725000,1,North America,2,2009-01-01
50177,29586,Second Sight,Health Care,14500000,1,North America,4,1998-01-01
50179,29587,Second Time Around,Retail,3000,1,North America,1,2014-03-01
50182,29588,SecondHome,Travel,600000,1,North America,1,2012-01-01
50183,29589,Linden Lab,Games,19000000,1,North America,2,1999-01-01
50184,29590,SecondMarket,Finance|Startups,34150000,1,North America,5,2004-01-01
50186,29591,SecondMic,Crowdsourcing|Social Media|Social Television|Sports,18000,1,North America,2,2014-01-01
50188,29592,Secpanel,Software,40000,1,North America,1,2011-01-01
50189,29593,Secret,Apps|Social Media,35025000,0,North America,3,2013-10-01
50190,29594,Secret Escapes,Travel,72857670,1,Europe,3,2010-01-01
50191,29595,Secret Golf,Digital Media|Entertainment|Sports|TV Production,2700000,1,North America,2,2012-06-01
50192,29596,Secret Lab,Android|Game|Games|iPad|iPhone|Mobile|Social Media|Training,1300000,1,Oceania,3,2008-01-01
50193,29597,Secret Media Inc.,Advertising|Digital Media,1000000,1,North America,1,2014-03-28
50195,29598,Secret Space,Local Businesses|Technology,15000,1,North America,2,2013-03-21
50196,29599,SecretBuilders,Games|Kids|MMO Games|Mobile Games|Publishing|Technology,2300000,0,North America,1,2007-01-01
50197,29600,SecretSales,E-Commerce|Fashion|Online Shopping|Retail,17495275,1,Europe,3,2007-01-01
50199,29601,Section 101,Blogging Platforms|Content|Curated Web|Email Marketing|SaaS|Social Media Marketing|Software|Web CMS|Web Design|Web Hosting,1510000,1,North America,1,2011-01-01
50201,29602,SectorQube,Consumer Electronics|Embedded Hardware and Software|Hardware + Software|Smart Building,173000,1,Asia,2,2011-01-01
50202,29603,SECU4,Electronics|Hardware + Software|Information Technology|Mobile|Security,1096589,1,Europe,4,2007-02-26
50204,29604,Seculert,Enterprises|Network Security|Security,15850000,1,Asia,3,2010-01-01
50205,29605,SecurActive,Security,1940000,1,Europe,1,2004-01-01
50206,29606,Securant,Fleet Management,750000,1,North America,1,2002-06-10
50208,29607,Secure Command,Software,1099993,1,North America,1,2009-01-01
50209,29608,Secure Computing,Security,69900000,1,North America,1,1984-01-01
50210,29609,Secure Data In Motion,Software,8000000,1,North America,1,1999-01-01
50215,29610,Secure Healing,Software,50000,1,North America,1,2011-01-01
50216,29611,Secure Islands Technologies,Security,11100000,1,Asia,2,2006-01-01
50217,29612,SecureMedia,Games,4000000,1,North America,1,1996-01-01
50220,29613,Secure Outcomes,Software,269000,1,North America,2,2008-01-01
50221,29614,Secure Software,Software,9250000,1,North America,1,2001-01-01
50222,29615,Secure64,Software,18316556,1,North America,4,2002-01-01
50223,29616,SecureAuth,Enterprise Software|Identity Management|Security,13000000,1,North America,2,2006-01-01
50224,29617,SecureBeam,Cloud Security|Mobile|Mobile Software Tools,33511,1,Europe,1,2014-05-01
50225,29618,"Scrypt, Inc",Public Relations,51250,0,North America,1,1999-01-01
50231,29619,SecureKey Technologies,Security,70481122,1,North America,6,2008-01-01
50234,29620,SecureNet Payment Systems,E-Commerce|Mobile Payments|Payments|Trading,18000000,1,North America,2,1997-01-01
50235,29621,Securens,Security,9000000,1,Asia,2,2012-01-01
50236,29622,SecureOne Data Solutions,BPO Services|Databases|Web Design,12000000,1,North America,1,1978-01-01
50239,29623,Securesight Technologies,Information Security|Security,10000,1,Asia,1,2013-10-17
50241,29624,SecureWave,Security,3900000,1,Europe,1,1996-01-01
50242,29625,SecureWorks,Security,73500000,1,North America,3,1999-01-01
50244,29626,Securify,Hardware + Software,15000000,1,North America,1,1998-01-01
50246,29627,Securisyn Medical,Biotechnology,2901000,1,North America,2,2011-01-01
50247,29628,Security First,Privacy|Security,29217000,1,North America,1,2002-01-01
50249,29629,SecurityScorecard Inc.,Cloud Computing|Cyber Security|Reviews and Recommendations|Risk Management|Security,15923277,1,North America,2,2013-01-01
50251,29630,Securly,Software,3000000,1,North America,1,2012-01-01
50252,29631,Securosys SA,Computers|Cyber Security|Network Security,1056769,1,Europe,1,2014-04-04
50254,29632,Securus,Gps|Security,4651137,1,North America,6,2008-01-01
50255,29633,Securus Medical Group,Biotechnology,7500000,1,North America,3,2011-01-01
50257,29634,Secustream Technologies,Software,796000,1,Europe,1,2006-01-01
50258,29635,SED Web,Apps|Brand Marketing|E-Commerce Platforms|Internet Marketing|Internet of Things|Web CMS|Web Design|Web Development|Web Hosting|Web Tools,14500,1,Europe,1,2012-03-14
50260,29636,Sedia Biosciences,Biotechnology|Health Diagnostics,1484998,1,North America,3,2009-01-01
50265,29637,SEE Forge,Enterprise Software|Mobility,2362500,1,North America,5,2011-12-14
50266,29638,SeeMe,Art|Design|Photography,4100000,1,North America,2,2012-02-22
50267,29639,See Your Box,Information Technology|Internet of Things|Logistics|Navigation,650000,1,Europe,1,2013-03-07
50269,29640,Seebright,Android|Consumer Goods|iOS|Technology|Virtualization,655580,1,North America,1,2012-10-15
50270,29641,SEEC,Software,1300000,1,North America,1,1988-01-01
50271,29642,SEEC AB,Clean Technology,1411955,1,Europe,1,2006-10-01
50272,29643,SeeChange Health,Health and Wellness,35000000,1,North America,2,1998-01-01
50273,29644,Snapcious,Brand Marketing|Consumers|Mobile|Mobile Games|Photography|Social Games,350000,1,North America,1,2011-04-01
50274,29645,SeeClickFix,Curated Web|Internet|iPhone|Local|Local Based Services|Mobile|Politics|Web Tools,3365000,1,North America,3,2008-09-01
50275,29646,SeeControl,Analytics,5117500,1,North America,2,2004-12-01
50278,29647,"Silvair (Seed Labs, Inc.)",Hardware + Software|Home Automation|Internet of Things,3100000,1,North America,1,2013-01-01
50279,29648,Seed&Spark,Crowdfunding|Crowdsourcing|Entertainment|Film|Games,1235000,1,North America,2,2012-05-01
50281,29649,Seedcamp,Business Services|Finance|Startups,10501321,1,Europe,4,2007-05-01
50282,29650,seedchange,Finance Technology|Financial Services|Startups|Venture Capital,950000,1,North America,2,2012-04-01
50283,29651,Seeder Clean Energy,Energy Efficiency|Enterprise Software|Green Building|Renewable Energies,73000,1,Asia,4,2012-01-01
50284,29652,Seedfuse,Social Media,118000,1,North America,1,2013-01-01
50285,29653,Seeding Labs,Nonprofits,3050000,1,North America,2,2007-01-01
50286,29654,SeedInvest,Crowdfunding|Curated Web|Entrepreneur|Social Network Media|Venture Capital,5250000,1,North America,2,2011-05-01
50287,29655,algrano,E-Commerce,40000,1,Europe,2,2014-01-01
50288,29656,Seedless Apps,Android|iOS|Web Design|Web Development,50701,1,North America,1,2014-02-01
50289,29657,Seedling,Curated Web|DIY|Kids,10600000,1,North America,4,2007-01-01
50291,29658,Seedrs,Finance,22755553,1,Europe,9,2009-03-16
50293,29659,seedtag,Advertising|PaaS|Photo Sharing,545263,1,Europe,1,2014-04-01
50294,29660,SeeFuture,Private Social Networking,55000,1,North America,1,2013-01-01
50295,29661,Seegrid Corp,Automotive,26937754,1,North America,6,2003-01-01
50296,29662,Seejay,Social Media Marketing,163448,1,Europe,2,2013-02-01
50297,29663,Seek Thermal,Consumer Electronics,40000000,1,North America,1,2012-01-01
50298,29664,Seek & Adore,E-Commerce,112243,0,Europe,1,2010-11-01
50300,29665,Rocketfuel Games,Game Mechanics|Games|Gamification,1504721,1,North America,2,2006-01-01
50301,29666,Seeker-Industries,Analytics|E-Commerce|Search|User Experience Design,372108,1,Europe,3,2013-02-28
50302,29667,Seeker Wireless,Advertising,9060000,1,Oceania,1,2003-01-01
50303,29668,Seeking Alpha,Finance|Social Opinion Platform|Stock Exchanges,7000000,1,North America,2,2004-01-01
50306,29669,SeekPanda,Business Travelers|Marketplaces|Translation,250000,1,North America,2,2014-04-01
50308,29670,Seelio,EdTech|Education|Networking,2225000,1,North America,4,2011-12-01
50309,29671,SEElogix,Curated Web,112500,1,North America,1,2011-01-01
50311,29672,Seemage,Software,6261000,1,Europe,2,2002-01-01
50312,29673,Seeme,Communities,42762,1,Europe,1,2013-01-01
50313,29674,SeeMedia,E-Commerce|Education|Training,50000,0,Europe,1,2012-01-01
50314,29675,SeeMore Interactive,Direct Marketing|Mobile|Mobile Commerce|Mobile Shopping,3050000,1,North America,5,2012-01-01
50315,29676,Seen,Content Discovery|Curated Web|Real Time|Search|Social Media,4617567,1,North America,4,2012-01-01
50316,29677,"Seen Digital Media, Inc.",Curated Web|Photography|Photo Sharing|SaaS|Sales and Marketing|Social Media|Twitter Applications|Video,2792000,1,North America,4,2009-06-01
50317,29678,Seenapse,Creative Industries|Innovation Management|Social Innovation,275000,1,North America,1,2014-01-15
50318,29679,Seenit,Content|Crowdsourcing|Mobile Video|Video,553576,1,Europe,2,2014-01-09
50319,29680,Seeo,Clean Technology,40600000,1,North America,3,2007-01-01
50320,29681,SeeOn,Social Media,2278902,1,Asia,1,2012-01-01
50321,29682,Seeonic,Software,375000,1,North America,1,2005-01-01
50322,29683,Seeq,Analytics|Services|Software,12189731,1,North America,3,2013-01-01
50323,29684,Seeqpod,Music|Search,7000000,1,North America,1,2005-05-01
50326,29685,Seer Technologies,Software,1705000,1,North America,3,2005-01-01
50331,29686,SeeSaw.com,Advertising|Games|Television|Video on Demand,31551894,1,Europe,2,2007-07-01
50332,29687,SeeSaw Networks,Advertising|News,23138876,0,North America,7,2005-01-01
50334,29688,Seesmic,Android|Brand Marketing|Browser Extensions|CRM|Curated Web|Facebook Applications|Marketplaces|Messaging|Social Media|Twitter Applications|Windows Phone 7,16000000,1,North America,3,2007-06-01
50335,29689,SeeSpace,Consumer Electronics|Hardware|Interface Design|Internet|Television,1200000,1,North America,2,2013-03-08
50336,29690,SeeToo,Chat|Enterprise Software|Video,1000000,0,North America,1,2007-01-01
50337,29691,seeusoon.io,Online Scheduling|Online Travel|Tourism,16691,1,Europe,1,2014-10-17
50338,29692,Seevibes,Advertising|Analytics|Brand Marketing|Consumer Electronics|Facebook Applications|Social Television|Television|Twitter Applications,1200000,1,North America,2,2011-01-01
50340,29693,SeeWhy,Advertising|Analytics,17986943,1,North America,8,2003-01-01
50342,29694,Sefaira,Energy Efficiency|SaaS|Software|Sustainability,20000000,1,North America,3,2009-08-26
50343,29695,Sefas Innovation,Software,3760000,1,Europe,1,1991-01-01
50344,29696,YAMAP,Gps|Mobile,30097,1,Asia,1,2013-07-18
50346,29697,Segetis,Clean Technology,32236273,1,North America,3,2006-01-01
50348,29698,Segment,Analytics|Developer APIs|Google Apps,44600000,1,North America,4,2012-01-01
50350,29699,Segmint,Finance,29517377,1,North America,5,2007-01-01
50351,29700,SegONE Inc.,Analytics|Banking|CRM,625000,1,North America,2,2013-01-01
50353,29701,Segovia,Software,13787114,1,North America,1,2014-01-01
50354,29702,Segterra (InsideTracker),Health and Wellness,2500000,1,North America,1,2009-06-01
50355,29703,SegundoHogar,Online Rental|Online Reservations,50000,1,South America,2,2012-05-29
50356,29704,Seguricel,Communities|Security|Technology,477326,1,South America,2,2008-01-01
50357,29705,Seguro Surgical,Biotechnology,1277832,1,North America,2,2009-01-01
50358,29706,Segway,Clean Technology,161040000,1,North America,3,2001-01-01
50360,29707,Seismic Games,Games|Mobile Games|Social Games|Video Games,4238332,1,North America,3,2011-01-01
50361,29708,Seismic Software,Enterprise Software|Presentations|Sales and Marketing|Sales Automation,24500000,1,North America,2,2011-06-01
50363,29709,Seismos,Analytics|Optimization|Real Time,4000000,1,North America,1,2012-01-01
50364,29710,Seismotech,Data Centers|Geospatial|Space Travel,1000000,0,Europe,1,2010-01-01
50366,29711,SEJENT,Games,1000000,1,North America,1,2011-05-11
50370,29712,Sekoia,Assisted Living|Elder Care|Software,3636583,1,Europe,2,2011-08-01
50372,29713,Selah Companies,Health Care,625000,1,North America,1,2005-10-11
50373,29714,Selah Genomics,Biotechnology,900000,1,North America,1,2012-01-01
50374,29715,Selah Technologies,Manufacturing|Medical Devices|Nanotechnology,1600000,1,North America,1,2006-01-01
50375,29716,Selatra,Apps|Cloud Computing|Games|Mobile|Portals,4443800,1,Europe,2,2002-01-01
50378,29717,SELECT,Discounts|Entertainment|Hospitality|Restaurants|Travel,40000,1,North America,1,2013-01-01
50379,29718,Select Uniforms,Manufacturing|Textiles,63992,1,Europe,1,1997-01-01
50380,29719,Selecta Biosciences,Biotechnology,182042306,1,North America,11,2008-01-01
50381,29720,Selectable Media,Advertising,4570000,1,North America,3,2011-05-01
50383,29721,Selectica,Software,34245892,2,North America,4,1996-01-01
50384,29722,Selectionnist,Beauty|Design|E-Commerce|Fashion|Media,2110951,1,Europe,1,2013-01-01
50385,29723,SelectMinds,Internet Marketing|Networking|Recruiting|Social Recruiting|Web Hosting,5500000,1,North America,1,2000-01-01
50386,29724,Selectron,Industrial|Industrial Automation,7962962,0,Europe,1,1956-01-01
50389,29725,Selerity,Content Discovery|FinTech|Media|Text Analytics,10320000,1,North America,3,2009-01-01
50391,29726,Selexagen Therapeutics,Biotechnology,597387,1,North America,1,2008-01-01
50395,29727,Self Health Network,Health and Wellness|Health Care|Health Care Information Technology,5643780,1,North America,1,2011-01-01
50396,29728,Self Lender,Consumer Internet|Finance Technology|FinTech|Personal Finance,2035000,1,North America,2,2014-05-13
50400,29729,Self Spark,Health and Wellness|Quantified Self|Self Development,37000,1,North America,1,2012-01-01
50401,29730,SelfDrvn Enterprise Pte Ltd,Big Data Analytics|Gamification|SaaS|Self Development,370000,1,Asia,1,2015-06-23
50402,29731,SelfEcho,Analytics,217500,1,North America,1,2013-01-01
50404,29732,SelfieJobs,Consulting|Employment|Video,134229,1,Europe,1,2014-05-01
50406,29733,Selfscore,Analytics|Big Data|Internet,7250000,1,North America,3,2012-01-01
50408,29734,SelfStir Ltd,Enterprise Software|SaaS|Self Development,140000,1,Europe,2,2011-06-01
50410,29735,SelfWealth,Financial Services,4300000,1,Oceania,1,2011-01-01
50411,29736,Sell My Timeshare NOW,Online Rental|Real Estate|Travel,10100000,1,North America,2,2008-01-01
50412,29737,Chirpify,Advertising Platforms|Marketing Automation|Payments|Social Commerce|Social Media Marketing,8170000,1,North America,4,2011-07-01
50415,29738,SellanApp,Apps|Auctions|Crowdfunding|iOS|Mobile,963278,1,Europe,5,2012-02-02
50418,29739,Sellbox,Content|Curated Web|E-Commerce|Leisure|Monetization,9000,1,Europe,2,2012-02-12
50419,29740,Sellbrite,E-Commerce|SaaS|Software,968000,1,North America,2,2013-01-01
50421,29741,Selleration,Software,500000,1,North America,1,2011-01-01
50423,29742,Selleroutlet,E-Commerce,150000,1,Europe,1,2012-08-03
50424,29743,Sellf,Collaboration|CRM|Mobile|Sales and Marketing,500000,1,Europe,1,2013-08-01
50426,29744,Selligy,CRM|Enterprises|Events|iOS|iPhone|Meeting Software|Mobile|Productivity Software|Professional Services|Task Management|Travel,2828000,1,North America,2,2011-01-01
50427,29745,Selling Simplified,Software,2800000,1,North America,1,2011-02-03
50429,29746,Sellobuy,Classifieds|Search,500000,1,Europe,1,2011-03-01
50430,29747,Sellplex,E-Commerce,40000,0,Europe,1,2013-09-09
50431,29748,sellpoints,Advertising|Creative|Digital Media|E-Commerce|Internet Marketing|Online Shopping|Retail|Search Marketing|Video,20367984,1,North America,4,2000-01-01
50434,29749,Sellshark,Recycling,75000,1,North America,1,2011-03-13
50436,29750,Sellsy,Billing|CRM|Customer Service|Enterprise Software,2165094,1,Europe,3,2009-01-01
50440,29751,Sellywhere,E-Commerce,40000,1,South America,1,2013-01-01
50441,29752,Selo Reserva,E-Commerce|Flash Sales|Wine And Spirits,225000,0,South America,2,2012-05-01
50443,29753,Selphee,Mobile|Social Media,337930,1,North America,1,2013-10-18
50444,29754,SelSahara,Agriculture|Consumer Goods,3750000,0,Asia,2,2010-01-01
50447,29755,Selventa,Biotechnology|Health Diagnostics,12000000,1,North America,3,2001-01-01
50448,29756,Selvera,Health and Wellness,1000000,1,North America,1,2013-01-01
50449,29757,Selvz,Content|Curated Web|Games|Lifestyle|Mobility|Shopping,380000,1,North America,6,2010-03-01
50451,29758,SemaConnect,Clean Technology,26300000,1,North America,3,2008-01-01
50452,29759,Semadic,E-Commerce|Local|Local Based Services|Marketplaces|Social Commerce|Social Media,500000,1,North America,1,2012-09-01
50455,29760,Semant.io,Analytics|Big Data|Business Intelligence|Market Research|Media|SaaS,40000,1,South America,1,2014-05-01
50458,29761,semanticlabs,Collaboration|Semantic Web|Software,2073280,1,Europe,2,2005-02-05
50459,29762,Semantics3,E-Commerce,2150000,1,North America,2,2013-03-01
